month,serious_accidents,hpi_count,million_hours_worked,safr,safr_monthly_avg,safr_3mth_rolling,safr_12mth_rolling,hpifr,hpifr_monthly_avg,hpifr_3mth_rolling,hpifr_12mth_rolling,financial_year
2014-12-01,0.0,9.0,0.985394,0.0,0.2755559927710641,0.0,0.22875424024578575,9.133402476572822,9.4515705520475,10.409743780422069,9.073918196416168,2014-15
2015-01-01,0.0,11.0,0.951984,0.0,0.26851224801166007,0.0,0.23066216803677433,11.554816047328526,9.505333579612767,10.654616295636302,8.995824553434199,2014-15
2015-02-01,0.0,14.0,0.897695,0.0,0.2621923094590805,0.0,0.1553838805383865,15.59549735712018,9.648676988094161,11.992636521175998,9.55610865311077,2014-15
2015-03-01,1.0,15.0,0.925677,1.0802904252779317,0.2815775026333256,0.3603141362765714,0.239099093742705,16.204356379168978,9.8040166825967,14.412565451062855,10.52036012467902,2014-15
2015-04-01,0.0,11.0,0.866905,0.0,0.275464667574498,0.37170893554827256,0.2425870256695887,12.688818267284189,9.866643547668383,14.868357421930902,10.916416155131492,2014-15
2015-05-01,0.0,10.0,0.875109,0.0,0.2695574002266977,0.3748560084357596,0.16693716051241692,11.427147932428989,9.900108153780534,13.494816303687346,11.268258334588143,2014-15
2015-06-01,0.0,8.0,0.954854,0.0,0.2633942627318022,0.0,0.16892322760259593,8.37824421325145,9.865312385954773,10.753214469525389,11.57124109077782,2014-15
2015-07-01,0.0,11.0,0.934939,0.0,0.2576267591574837,0.0,0.16996984649938177,11.765473469392122,9.90691992032869,10.488617679758631,11.897889254956725,2015-16
2015-08-01,0.0,12.0,0.896034,0.0,0.25233141611923365,0.0,0.17192620445911244,13.39234895104427,9.97856054653333,11.127754882122973,12.378686721056095,2015-16
2015-09-01,1.0,17.0,0.884651,1.1303892721536517,0.269795618352784,0.36823949118140065,0.17759006902126828,19.216617626612077,10.16230162462153,14.729579647256026,12.520099865999413,2015-16
2015-10-01,0.0,13.0,0.921895,0.0,0.26431713404103363,0.3700167987626638,0.1791929721949849,14.1013889868152,10.242288944090054,15.54070554803188,12.81229751194142,2015-16
2015-11-01,1.0,13.0,0.982131,1.0181941105616257,0.2802803035884136,0.7171859630928932,0.27082490014685934,13.236523437301134,10.305691162712439,15.419498206497204,12.999595207049246,2015-16
2015-12-01,0.0,9.0,0.823746,0.0,0.2753893926572926,0.3665995545082214,0.2748355109466984,10.925697970005318,10.316510324930885,12.830984407787748,13.192104525441522,2015-16
2016-01-01,0.0,11.0,0.775075,0.0,0.27094080651991953,0.38745393172751763,0.27936313771736665,14.192174950811212,10.379117049763073,12.785979747008081,13.409430610433597,2015-16
2016-02-01,0.0,16.0,0.737432,0.0,0.2668396773029783,0.0,0.2835954763874625,21.69691578342139,10.550430317979297,15.409290004121985,13.801646517523176,2015-16
2016-03-01,0.0,11.0,0.811101,0.0,0.26246987830059154,0.0,0.19113383649952903,13.561812893831965,10.599745085216195,16.353877246075932,13.570502391466562,2015-16
2016-04-01,0.0,16.0,0.710209,0.0,0.2587594966228104,0.0,0.19403957010145162,22.528579615296344,10.76837597484157,19.037145455302113,14.261908402456694,2015-16
